Geocode,Year,WarDeathsData
TCD,2019,144
TCD,2020,196
TEA,2008,711
TEA,2009,1222
TEA,2015,1263
THA,1989,201
THA,1990,19
THA,1998,3
THA,2000,8
THA,2001,22
THA,2002,23
THA,2003,26
THA,2004,164
THA,2005,208
THA,2006,212
THA,2007,197
THA,2008,148
THA,2009,138
THA,2010,82
THA,2011,162
THA,2012,131
THA,2013,189
THA,2014,68
THA,2015,57
THA,2016,50
THA,2017,43
THA,2018,36
THA,2019,55
THA,2020,48
TJK,1992,3355
TJK,1993,1045
TJK,1994,356
TJK,1995,368
TJK,1996,2790
TJK,1997,87
TJK,1998,600
TJK,1999,3
TJK,2000,46
TJK,2010,98
TJK,2011,28
TMN,1993,1319
TMN,1996,1865
TMN,1997,3608
TMN,2016,57108
TMN,2017,35455
TMN,2018,19944
TMN,2019,12100
TMN,2020,9307
TSA,1989,6735
TSA,1990,7544
TSA,1991,12939
TSA,1992,11445
TSA,1993,7649
TSA,1994,10846
TSA,1995,11159
TSA,1996,7969
TSA,1997,10315
TSA,1998,11201
TSA,1999,8740
TSA,2000,11016
TSA,2001,7823
TSA,2002,6852
TSA,2003,3747
TSA,2004,4328
TSA,2005,4341
TSA,2006,9026
TSA,2007,11233
TSA,2008,18427
TSA,2009,24485
TSA,2010,13944
TSA,2011,10705
TSA,2012,11155
TSA,2013,10278
TSA,2014,15899
TSA,2015,19903
TSA,2016,19451
TSA,2017,20421
TSA,2018,26728
TSA,2019,30801
TSA,2020,21432
TSS,2020,9928
TTO,1990,39
TUN,2016,69
TUR,1989,227
TUR,1990,245
TUR,1991,344
TUR,1992,1563
TUR,1993,2117
TUR,1994,3865
TUR,1995,3035
TUR,1996,3283
TUR,1997,2273
TUR,1998,1920
TUR,1999,1129
TUR,2000,121
TUR,2001,101
TUR,2002,25
TUR,2003,90
TUR,2004,183
TUR,2005,359
TUR,2006,210
TUR,2007,453
TUR,2008,429
TUR,2009,126
TUR,2010,198
TUR,2011,421
TUR,2012,743
TUR,2013,19
TUR,2015,902
TUR,2016,1378
TUR,2017,398
TUR,2018,439
TUR,2019,270
TUR,2020,190
TZA,2020,25
UGA,1989,1022
UGA,1990,626
UGA,1991,857
UGA,1992,72
UGA,1994,149
UGA,1995,259
UGA,1996,1155
UGA,1997,738
UGA,1998,748
UGA,1999,341
UGA,2000,364
UGA,2001,108
UGA,2002,722
UGA,2003,633
UGA,2004,1215
UGA,2005,610
UGA,2006,198
UGA,2007,91
UKR,2014,4378
UKR,2015,1314
UKR,2016,252
UKR,2017,409
UKR,2018,243
UKR,2019,234
UKR,2020,195
UMC,2008,4152
UMC,2009,2432
UMC,2015,11806
USA,2001,233
UZB,1999,50
UZB,2000,297
UZB,2004,37
VEN,1992,144
VEN,2007,2
YEM,1994,1489
YEM,2008,21
YEM,2009,94
YEM,2010,175
YEM,2011,1140
YEM,2012,2330
YEM,2013,582
YEM,2014,1660
YEM,2015,6716
YEM,2016,2846
YEM,2017,2733
YEM,2018,4505
YEM,2019,1703
YEM,2020,2363
